Year;SegGene2;SegGene1
0;0;0
0;49;50
20;65;46
40;78;47
60;82;52
80;86;52
100;87;58
120;89;56
140;89;56
160;88;53
180;87;54
200;88;59
220;89;63
240;87;62
260;87;66
280;87;66
300;85;60
320;89;58
340;89;55
360;90;56
380;90;54
400;92;53
420;91;52
440;92;53
460;92;54
480;90;54
500;89;49
520;91;49
540;91;50
560;91;48
580;91;46
600;91;46
620;92;46
640;92;51
660;90;52
680;91;52
700;91;59
720;93;62
740;93;60
760;93;61
780;92;58
800;90;61
820;90;58
840;88;56
860;88;61
880;90;59
900;91;54
920;89;53
940;88;46
960;89;47
980;91;44
1000;91;47
1020;90;46
1040;89;46
1060;92;45
1080;90;48
1100;90;52
1120;91;51
1140;91;55
1160;91;56
1180;91;59
1200;92;57
1220;90;56
1240;92;52
1260;94;46
1280;94;47
1300;93;48
1320;91;48
1340;91;48
1360;90;49
1380;90;49
1400;90;46
1420;90;43
1440;90;41
1460;92;43
1480;93;40
