Year;Honoring;SelfSacrifice
0;0;0
0;48;47
10;42;52
20;35;52
30;26;52
40;25;54
50;19;58
60;13;59
70;8;58
80;7;58
90;6;57
100;6;60
110;6;60
120;5;60
130;4;62
140;3;65
150;5;67
160;4;67
170;4;68
180;3;67
190;1;70
200;1;75
210;1;76
220;1;78
230;0;78
240;0;79
250;2;77
260;1;74
270;0;72
280;1;73
290;1;74
300;1;72
310;0;70
320;0;68
330;0;69
340;1;68
350;0;69
360;0;70
370;0;72
380;0;72
390;0;72
400;0;74
410;0;76
420;0;72
430;1;71
440;1;74
450;0;75
460;0;76
470;1;74
480;1;73
490;0;74
500;0;71
510;0;75
520;0;74
530;0;74
540;0;75
550;0;78
560;0;77
570;0;76
580;0;75
590;0;80
600;1;79
610;1;74
620;0;71
630;0;71
640;0;73
650;0;74
660;0;73
670;0;75
680;0;75
690;0;73
700;0;74
710;0;72
720;0;71
730;0;66
740;0;64
750;0;66
760;0;66
770;0;66
780;0;63
790;0;63
800;0;64
810;0;59
820;1;61
830;0;62
840;0;62
850;0;60
860;0;58
870;0;57
880;0;49
890;0;48
900;0;45
910;1;45
920;0;43
930;0;46
940;1;44
950;1;41
960;1;40
