Year;SelfSacrifice
0;0
0;52
10;51
20;49
30;45
40;42
50;42
60;37
70;33
80;33
90;32
100;33
110;33
120;33
130;29
140;25
150;26
160;29
170;27
180;26
190;28
200;29
210;25
220;24
230;22
240;25
250;22
260;21
270;21
280;20
290;17
300;15
310;15
320;16
330;16
340;16
350;19
360;19
370;18
380;16
390;16
400;16
410;13
420;13
430;13
440;14
450;13
460;11
470;10
480;9
490;10
500;10
510;10
520;10
530;11
540;10
550;11
560;11
570;10
580;9
590;9
600;9
610;8
620;8
630;8
640;7
650;8
660;10
670;8
680;7
690;8
700;10
710;9
720;9
730;8
740;8
750;10
760;8
770;9
780;11
790;10
800;11
810;11
820;10
830;10
840;9
850;11
860;13
870;12
880;12
890;13
900;14
910;13
