Year;SelfSacrifice
0;0
0;46
10;46
20;45
30;42
40;41
50;39
60;41
70;39
80;40
90;37
100;35
110;34
120;31
130;32
140;33
150;26
160;29
170;29
180;29
190;31
200;26
210;25
220;22
230;21
240;19
250;18
260;16
270;16
280;14
290;12
300;13
310;12
320;12
330;12
340;13
350;14
360;14
370;15
380;14
390;13
400;13
410;15
420;15
430;16
440;16
450;15
460;15
470;14
480;15
490;16
500;15
510;15
520;14
530;14
540;14
550;14
560;13
570;12
580;12
590;13
600;15
610;15
620;15
630;14
640;14
650;16
660;17
670;17
680;15
690;15
700;14
710;13
720;12
730;12
740;13
750;12
760;11
770;13
780;14
790;11
800;11
810;11
820;9
830;9
840;9
850;10
860;10
870;9
880;8
890;8
900;10
910;9
920;10
930;10
940;9
950;9
960;9
970;11
980;11
990;13
1000;12
