Year;SelfSacrifice
0;0
0;55
10;53
20;51
30;50
40;47
50;47
60;45
70;45
80;46
90;46
100;46
110;45
120;45
130;38
140;37
150;34
160;27
170;27
180;25
190;27
200;26
210;27
220;29
230;27
240;26
250;25
260;27
270;28
280;27
290;25
300;25
310;24
320;22
330;21
340;18
350;17
360;17
370;17
380;14
390;15
400;16
410;16
420;16
430;16
440;15
450;15
460;15
470;14
480;14
490;15
500;15
510;15
520;15
530;13
540;14
550;14
560;14
570;13
580;13
590;15
600;14
610;15
620;15
630;15
640;15
650;16
660;16
670;16
680;15
690;14
700;17
710;16
720;16
730;15
740;16
750;17
760;17
770;17
780;17
790;17
800;15
810;15
820;13
830;13
840;12
850;11
860;12
870;13
880;11
890;12
900;12
910;12
920;12
930;11
940;11
950;10
960;8
970;9
980;9
990;9
1000;10
1010;9
1020;8
1030;9
1040;9
1050;9
1060;9
1070;9
1080;9
1090;10
1100;9
1110;8
1120;8
1130;8
1140;8
1150;9
1160;10
1170;10
1180;11
1190;12
1200;9
1210;8
1220;8
1230;8
1240;8
1250;7
1260;7
1270;7
1280;7
1290;7
1300;8
1310;8
1320;8
1330;7
1340;7
1350;7
1360;7
1370;7
1380;7
1390;7
1400;9
1410;9
1420;8
1430;9
1440;8
1450;8
1460;8
1470;7
1480;6
1490;6
1500;6
1510;5
1520;5
1530;6
1540;6
1550;6
1560;8
1570;8
1580;7
1590;6
1600;6
1610;6
1620;7
1630;7
1640;7
1650;8
1660;7
1670;7
1680;8
1690;7
1700;6
1710;6
1720;6
1730;5
1740;5
1750;6
1760;6
1770;6
1780;6
1790;7
1800;7
1810;7
1820;7
1830;6
1840;7
1850;7
1860;9
1870;10
1880;8
1890;7
1900;7
1910;7
1920;7
1930;8
1940;8
1950;8
1960;8
1970;8
1980;6
1990;7
2000;7
2010;7
2020;7
2030;6
2040;5
2050;6
2060;6
2070;7
2080;7
2090;6
2100;7
2110;8
2120;8
2130;8
2140;8
2150;8
2160;10
2170;10
2180;10
2190;11
2200;10
2210;10
2220;10
2230;10
2240;11
2250;10
2260;11
2270;9
2280;9
2290;8
2300;8
2310;8
2320;8
2330;8
2340;7
2350;7
2360;8
2370;9
2380;9
2390;9
2400;7
2410;7
2420;9
2430;8
2440;9
2450;9
2460;8
2470;8
2480;8
2490;8
2500;9
2510;9
2520;10
2530;9
2540;8
2550;8
2560;8
2570;8
2580;9
2590;9
2600;9
2610;8
2620;9
2630;9
2640;8
2650;7
2660;8
2670;8
2680;8
2690;8
2700;8
2710;7
2720;6
2730;6
2740;6
2750;5
2760;5
2770;6
2780;6
2790;6
2800;7
2810;7
2820;7
2830;6
2840;6
2850;8
2860;7
2870;6
2880;7
2890;7
2900;7
2910;6
2920;7
2930;6
2940;7
2950;7
2960;7
2970;6
2980;6
2990;6
3000;5
3010;5
3020;5
3030;5
3040;5
3050;5
3060;6
3070;6
3080;6
3090;6
3100;7
3110;7
3120;6
3130;7
3140;8
3150;9
3160;9
3170;9
3180;11
3190;9
3200;8
3210;9
3220;7
3230;7
3240;7
3250;8
3260;7
3270;9
3280;9
3290;9
3300;10
3310;9
3320;9
3330;10
3340;9
3350;8
3360;7
3370;6
3380;6
3390;6
3400;5
3410;5
3420;5
3430;5
3440;4
3450;4
3460;4
3470;5
3480;6
3490;6
