Year;SelfSacrifice
0;0
0;49
10;52
20;55
30;54
40;51
50;52
60;52
70;49
80;51
90;52
100;50
110;48
120;49
130;51
140;52
150;56
160;57
170;56
180;56
190;56
200;55
210;56
220;56
230;59
240;58
250;53
260;59
270;61
280;65
290;66
300;67
310;68
320;69
330;67
340;67
350;67
360;65
370;62
380;62
390;59
400;61
410;64
420;66
430;65
440;62
450;62
460;65
470;64
480;62
490;59
500;56
510;55
520;60
530;61
540;61
550;57
560;58
570;58
580;56
590;54
600;53
610;54
620;52
630;52
640;56
650;56
660;54
670;50
680;47
690;47
700;43
710;41
720;41
730;42
740;42
750;37
760;34
770;34
780;33
790;30
800;30
810;31
820;32
830;31
840;35
850;35
860;32
870;30
880;30
890;28
900;30
910;27
920;29
930;30
940;28
950;27
960;27
970;27
980;30
990;28
1000;28
1010;29
1020;27
1030;27
1040;29
1050;30
1060;30
1070;31
1080;32
1090;32
1100;31
1110;33
1120;33
1130;33
1140;33
1150;34
1160;34
1170;36
1180;37
1190;38
1200;38
1210;36
1220;36
1230;36
1240;36
1250;37
1260;39
1270;39
1280;41
1290;40
1300;41
1310;39
1320;40
1330;38
1340;39
1350;39
1360;40
1370;41
1380;40
1390;40
1400;40
1410;40
1420;40
1430;41
1440;39
1450;38
1460;37
1470;36
1480;36
1490;35
1500;35
1510;37
1520;36
1530;38
1540;38
1550;38
1560;38
1570;38
1580;37
1590;35
1600;34
1610;36
1620;37
1630;35
1640;36
1650;37
1660;37
1670;39
1680;38
1690;39
1700;39
1710;40
1720;41
1730;40
1740;41
1750;40
1760;40
1770;39
1780;40
1790;41
1800;40
1810;41
1820;37
1830;39
1840;39
1850;38
1860;39
1870;39
1880;36
1890;37
1900;38
1910;38
1920;40
1930;39
1932;39
2000;39
