Date,Admiration,AgeMax,MutationRate,PopulationSize,ReproGainsThreshold,ReproductionRate,SacrificeHeredity,Selectivity,TimeLimit,SelfSacrifice,NbHeroes
190326155223,0,40,5,1000,10,50,25,10,10000,1,18
190326121056,5,40,5,1000,10,50,0,10,10000,1,33
190326155215,5,40,5,1000,10,50,25,10,10000,2,40
190326121129,10,40,5,1000,10,50,50,10,10000,4,70
190326121102,10,40,5,1000,10,50,100,10,10000,3,61
190326155207,20,40,5,1000,10,50,75,10,10000,4,76
190326121131,100,40,5,1000,10,50,100,10,10000,3,57
190326235858,0,40,5,1000,10,30,75,10,10000,0,11
190326184805,5,40,5,1000,10,30,0,10,10000,1,19
190326121128,5,40,5,1000,10,30,25,10,10000,1,24
190326121128,5,40,5,1000,10,30,25,10,10000,1,24
190326155217,5,40,5,1000,10,30,75,10,10000,1,21
190326155217,5,40,5,1000,10,30,75,10,10000,1,21
190326193951,10,40,5,1000,10,30,75,10,10000,2,32
190326184753,10,40,5,1000,10,30,100,10,10000,2,31
190327082421,20,40,5,1000,10,30,25,10,10000,3,47
190326121058,20,40,5,1000,10,30,50,10,10000,3,50
190326121135,20,40,5,1000,10,30,50,10,10000,3,48
190326121058,20,40,5,1000,10,30,50,10,10000,3,50
190326121135,20,40,5,1000,10,30,50,10,10000,3,48
190326184751,50,40,5,1000,10,30,0,10,10000,1,19
190326121051,50,40,5,1000,10,30,50,10,10000,4,54
190326121051,50,40,5,1000,10,30,50,10,10000,4,54
190327083619,100,40,5,1000,10,30,0,10,10000,1,18
190326121104,100,40,5,1000,10,30,25,10,10000,3,54
190326121104,100,40,5,1000,10,30,25,10,10000,3,54
190326155209,100,40,5,1000,10,30,50,10,10000,4,55
190326155209,100,40,5,1000,10,30,50,10,10000,4,55
190327075520,100,40,5,1000,10,30,100,10,10000,2,34
190326121133,0,40,5,1000,10,15,0,10,10000,0,6
190326121133,0,40,5,1000,10,15,0,10,10000,0,6
190327112420,0,40,5,1000,10,15,50,10,10000,0,6
190326121108,0,40,5,1000,10,15,75,10,10000,0,6
190326121108,0,40,5,1000,10,15,75,10,10000,0,6
190327171826,0,40,5,1000,10,15,75,10,10000,0,6
190326121054,0,40,5,1000,10,15,100,10,10000,0,6
190326121054,0,40,5,1000,10,15,100,10,10000,0,6
190327073001,5,40,5,1000,10,15,0,10,10000,0,9
190327155535,10,40,5,1000,10,15,0,10,10000,0,9
190326184757,20,40,5,1000,10,15,50,10,10000,1,23
190326184757,20,40,5,1000,10,15,50,10,10000,1,23
190326155221,20,40,5,1000,10,15,75,10,10000,1,22
190326155221,20,40,5,1000,10,15,75,10,10000,1,22
190327081733,50,40,5,1000,10,15,0,10,10000,0,10
190327082735,50,40,5,1000,10,15,25,10,10000,2,25
