Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;1
20;0;1
30;0;2
40;0;1
50;0;4
60;0;1
70;0;2
80;0;1
90;0;3
100;0;1
110;0;1
120;0;1
130;0;0
140;0;2
150;0;1
160;0;3
170;0;3
180;0;1
190;0;2
200;0;3
210;0;5
220;0;1
230;0;5
240;0;1
250;0;0
260;0;2
270;0;1
280;0;2
290;0;2
300;0;4
310;0;1
320;0;1
330;0;1
340;0;1
350;0;0
360;0;5
370;0;1
380;0;1
390;0;4
400;0;4
410;0;5
420;0;3
430;0;3
440;0;1
450;0;3
460;0;4
470;0;4
480;0;3
490;0;2
500;0;5
510;0;4
520;0;1
530;0;3
540;0;1
550;0;6
560;0;3
570;0;6
580;0;5
590;0;4
600;0;2
610;0;3
620;0;2
630;0;5
640;0;7
650;0;1
660;0;2
670;0;1
680;0;2
690;0;3
700;0;2
710;0;6
720;0;2
730;0;2
740;0;4
750;0;2
760;0;2
770;0;4
780;0;2
790;0;2
800;0;1
810;0;2
820;0;0
830;0;2
840;0;3
850;0;2
860;0;3
870;0;1
880;0;5
890;0;3
900;0;7
910;0;4
920;0;2
930;0;4
940;0;1
950;0;2
960;0;3
970;0;4
980;0;3
990;0;5
1000;0;4
1010;0;3
1020;0;2
1030;0;1
1040;0;2
1050;0;1
1060;0;4
1070;0;1
1080;0;7
1090;0;3
1100;0;5
1110;0;2
1120;0;2
1130;0;2
1140;0;4
1150;0;3
1160;0;1
1170;0;2
1180;0;4
1190;0;4
1200;0;0
1210;0;4
1220;0;2
1230;0;4
1240;0;1
1250;0;2
1260;0;2
1270;0;1
1280;0;1
1290;0;2
1300;0;1
1310;0;4
1320;0;5
1330;0;2
1340;0;3
1350;0;1
1360;0;1
1370;0;2
1380;0;2
1390;0;3
1400;0;4
1410;0;4
1420;0;2
1430;0;2
1440;0;7
1450;0;1
1460;0;5
1470;0;6
1480;0;0
1490;0;3
1500;0;5
1510;0;1
1520;0;7
1530;0;8
1540;0;4
1550;0;4
1560;0;6
1570;0;5
1580;0;5
1590;0;3
1600;0;3
1610;0;5
1620;0;4
1630;0;6
1640;0;3
1650;0;4
1660;0;8
1670;0;2
1680;0;3
