Date,Admiration,AgeAdult,AgeMax,BatchMode,DNAFill,DisplayPeriod,DumpStart,GeneCoding,GeneLength,GroupMinSize,MutationRate,NbCrossover,NbInteractions,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,Selectivity,StartFromFile,TimeLimit,Title,LastStep,SelfSacrifice,NbHeroes
190322144145,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,2
190322140652,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,9
190322140654,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,12
190322140656,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322140658,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,2
190322140700,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,11
190322140702,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,7
190322140704,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,14
190322140706,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,11
190322140708,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,9
190322140710,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322140712,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,2
190322140714,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,8
190322140716,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,10
190322140718,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,7
190322140720,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322140722,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322140724,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322140726,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,12
190322140728,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,1,12
