Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;3
20;0;19
30;1;23
40;1;43
50;1;19
60;1;26
70;1;35
80;1;41
90;2;37
100;2;39
110;2;40
120;2;42
130;2;47
140;2;37
150;2;37
160;2;40
170;2;49
180;2;40
190;2;36
200;2;47
210;2;42
220;2;44
230;2;45
240;2;38
250;2;29
260;2;34
270;2;34
280;2;45
290;2;26
300;2;39
310;2;38
320;2;39
330;2;36
340;2;38
350;3;48
360;3;49
370;2;44
380;2;52
390;2;44
400;2;54
410;2;34
420;2;46
430;2;32
440;2;45
450;2;40
460;2;42
470;2;33
480;2;43
490;2;46
500;2;47
510;2;56
520;2;53
530;2;46
540;2;44
550;2;44
560;2;42
570;2;57
580;2;28
590;2;37
600;2;37
610;2;39
620;2;38
630;2;42
640;2;41
650;2;31
660;2;38
670;2;52
680;2;35
690;2;46
700;2;43
710;2;50
720;2;32
730;2;20
740;2;54
750;2;46
760;2;41
770;2;35
780;2;35
790;2;53
800;2;46
810;2;40
820;3;47
830;3;49
840;2;43
850;2;36
860;2;34
870;2;33
880;2;37
890;2;25
900;2;45
910;2;42
920;2;47
930;2;62
940;2;32
950;2;40
960;2;55
970;1;27
980;2;40
990;2;34
1000;2;40
1010;2;45
1020;2;51
1030;2;51
1040;2;32
1050;2;28
1060;2;39
1070;2;35
1080;2;31
1090;2;39
1100;2;45
1110;2;51
1120;2;42
1130;2;35
1140;2;51
1150;2;39
1160;2;52
1170;2;48
1180;2;36
1190;2;48
1200;2;56
1210;2;34
1220;2;38
1230;2;22
1240;1;27
1250;2;38
1260;2;34
1270;2;29
1280;2;47
1290;2;43
1300;3;54
1310;2;44
1320;2;41
1330;2;46
1340;2;54
1350;2;35
1360;1;28
1370;2;33
1380;2;37
1390;2;35
1400;2;35
1410;2;33
1420;2;29
1430;2;41
1440;2;41
1450;2;42
1460;2;40
1470;2;34
1480;2;34
1490;2;35
1500;1;28
1510;2;42
1520;1;24
1530;2;33
1540;1;35
1550;1;22
1560;1;28
1570;2;45
1580;2;46
1590;2;40
1600;2;41
1610;2;44
1620;2;43
1630;2;40
1640;2;40
1650;2;33
1660;2;36
1670;2;33
1680;2;38
