Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;8
20;0;14
30;1;14
40;1;30
50;1;15
60;1;21
70;1;28
80;1;20
90;1;17
100;1;21
110;1;14
120;1;16
130;1;25
140;1;17
150;1;22
160;1;27
170;1;30
180;1;17
190;1;16
200;1;22
210;1;11
220;1;17
230;1;12
240;1;16
250;1;25
260;1;21
270;1;23
280;1;14
290;1;20
300;1;21
310;1;22
320;1;31
330;1;31
340;1;27
350;1;21
360;1;33
370;1;18
380;1;24
390;1;26
400;1;30
410;1;31
420;1;15
430;1;19
440;1;23
450;1;13
460;1;27
470;1;29
480;1;18
490;1;26
500;1;28
510;1;24
520;1;18
530;1;23
540;1;23
550;1;25
560;1;16
570;1;22
580;1;27
590;1;10
600;1;11
610;1;14
620;1;28
630;1;27
640;1;13
650;1;20
660;1;18
670;1;29
680;1;28
690;1;26
700;1;19
710;1;21
720;1;19
730;1;23
740;1;24
750;1;24
760;1;28
770;1;26
780;1;19
790;1;21
800;1;21
810;1;16
820;1;22
830;1;23
840;1;18
850;1;16
860;1;24
870;1;24
880;1;31
890;1;17
900;1;22
910;1;29
920;1;26
930;2;27
940;2;32
950;2;36
960;1;21
970;1;30
980;1;25
990;1;26
1000;1;25
1010;1;15
1020;1;25
1030;1;25
1040;1;16
1050;1;25
1060;1;21
1070;1;24
1080;1;26
1090;1;25
1100;1;28
1110;1;35
1120;1;25
1130;1;30
1140;1;19
1150;1;22
1160;1;23
1170;1;18
1180;1;26
1190;1;20
1200;1;26
1210;1;21
1220;1;17
1230;1;29
1240;1;27
1250;1;13
1260;1;14
1270;1;25
1280;1;24
1290;1;28
1300;2;29
1310;1;21
1320;1;22
1330;1;20
1340;1;15
1350;1;24
1360;1;12
1370;1;24
1380;1;15
1390;1;16
1400;1;19
1410;1;18
1420;1;24
1430;1;21
1440;1;20
1450;1;12
1460;1;26
1470;1;34
1480;1;25
1490;1;16
1500;2;20
1510;1;32
1520;1;18
1530;1;29
1540;1;25
1550;1;35
1560;1;18
1570;1;25
1580;1;26
1590;1;28
1600;1;26
1610;1;29
1620;1;18
1630;1;16
1640;1;15
1650;1;21
1660;1;24
1670;1;29
1680;1;22
