Date,AgeAdult,AgeMax,BatchMode,DNAFill,DenunciationCost,DifferentialCosts,DishonestPremium,DisplayPeriod,DumpStart,EraseNetwork,FriendshipValue,GeneCoding,GeneLength,GroupMinSize,HonoringCost,JoiningBonus,Judas,MaxFriends,MutationRate,NbCrossover,NbInteractions,NbTraitors,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,SelectionPressure,Selectivity,StartFromFile,TimeLimit,Title,LastStep,Patriot,NonPatriot,Demand,SelfSacrifice,NbHeroes
190325184251,0,40,1,0,200,1,100,10,5000,0,15,Weighted,8,0,100,20,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
190325174859,0,40,1,0,200,1,100,10,5000,0,20,Weighted,8,0,100,5,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,1
190325175028,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,5,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
190325175621,0,40,1,0,0,1,100,10,5000,0,5,Weighted,8,0,100,5,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,0,0,0,1
190325180018,0,40,1,0,0,1,100,10,5000,0,20,Weighted,8,0,100,20,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
190325180843,0,40,1,0,0,1,100,10,5000,0,15,Weighted,8,0,100,5,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
190325181130,0,40,1,0,100,1,100,10,5000,0,10,Weighted,8,0,100,10,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,0,0,0,1
190325181618,0,40,1,0,100,1,100,10,5000,0,20,Weighted,8,0,100,15,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,1
190325182520,0,40,1,0,200,1,100,10,5000,0,15,Weighted,8,0,100,10,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,1
190325183003,0,40,1,0,100,1,100,10,5000,0,20,Weighted,8,0,100,10,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,1
190325183558,0,40,1,0,0,1,100,10,5000,0,5,Weighted,8,0,100,15,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,0,0,0,1
190325184251,0,40,1,0,200,1,100,10,5000,0,15,Weighted,8,0,100,20,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
190326205224,0,40,1,0,0,1,100,10,5000,0,0,Weighted,8,0,100,0,,10,5,1,100,0,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,0,0,46,0,10
190325174859,0,40,1,0,200,1,100,10,5000,0,20,Weighted,8,0,100,5,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,1
190325175028,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,5,,10,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
