Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;1;1;0;2
20;1;1;0;0;0
30;1;0;2;0;2
40;2;0;1;0;0
50;3;1;1;0;1
60;4;0;2;0;1
70;4;0;2;0;3
80;5;0;2;0;1
90;4;0;1;0;0
100;3;0;1;0;0
110;3;0;2;0;1
120;3;0;2;0;0
130;3;1;3;0;1
140;4;1;4;0;1
150;4;1;4;0;1
160;6;1;6;0;1
170;5;1;5;0;2
180;5;1;7;0;0
190;7;1;8;0;3
200;9;0;7;0;0
210;12;0;7;0;1
220;11;1;8;0;1
230;11;1;7;0;0
240;13;1;6;0;0
250;16;2;7;0;0
260;14;1;8;0;3
270;15;2;9;0;1
280;18;4;7;0;1
290;17;2;6;0;1
300;17;3;7;0;1
310;18;3;9;0;0
320;17;5;9;0;3
330;14;3;11;0;3
340;16;4;9;0;2
350;13;4;9;0;1
360;12;4;9;0;0
370;11;4;12;0;1
380;11;5;13;0;0
390;12;5;12;0;3
400;15;4;14;0;0
410;12;4;18;1;3
420;13;5;17;1;3
430;12;7;11;1;4
440;10;6;12;1;5
450;8;4;12;1;5
460;9;5;14;1;0
470;10;6;11;1;2
480;10;6;13;1;6
490;9;6;12;1;4
500;7;6;10;1;5
510;7;8;10;0;2
520;7;9;10;0;4
530;7;9;11;0;2
540;9;8;11;0;2
550;10;8;12;0;3
560;11;10;12;0;3
570;12;10;12;0;2
580;14;9;13;1;3
590;17;9;18;1;3
600;20;10;16;1;8
610;21;9;16;1;2
620;21;10;18;0;2
630;20;10;22;1;2
640;18;13;22;0;3
650;19;17;20;1;4
660;19;18;20;1;5
670;19;18;19;0;6
680;17;20;21;1;5
690;18;20;22;1;4
700;17;23;24;1;6
710;15;25;24;1;7
720;14;26;27;0;1
730;13;27;27;0;2
740;11;29;30;0;4
750;11;31;28;0;2
760;12;32;27;1;2
770;13;33;27;1;3
780;14;33;25;1;5
790;15;33;25;1;2
800;15;33;25;1;6
810;15;32;23;1;10
820;14;32;24;1;5
830;13;32;23;2;6
840;13;32;21;1;3
850;15;33;19;2;7
860;16;32;18;1;6
870;17;32;17;2;5
880;15;31;17;2;10
890;15;31;18;2;6
900;17;31;18;1;5
910;13;29;17;1;6
920;14;29;18;2;4
930;13;27;17;1;4
940;14;26;18;1;1
950;13;26;17;1;5
960;14;25;16;1;8
970;17;26;17;1;5
980;14;25;17;1;7
990;11;25;17;1;8
1000;15;25;16;2;4
1010;17;25;18;1;3
1020;17;25;18;1;4
1030;19;25;18;1;6
1040;25;25;21;2;7
1050;31;25;22;1;5
1060;30;25;22;2;4
1070;29;25;18;2;9
1080;26;25;16;2;8
1090;16;25;18;2;7
1100;15;25;16;2;4
1110;14;25;12;2;10
1120;11;25;12;2;3
1130;11;25;9;2;5
1140;8;25;8;2;7
1150;9;25;8;2;5
1160;10;25;9;2;3
1170;10;26;8;2;4
1180;11;26;7;2;5
1190;9;26;6;2;7
1200;10;26;6;2;6
1210;9;26;6;2;9
1220;11;25;5;2;6
1230;10;25;6;2;1
1240;10;26;6;2;7
1250;11;25;7;1;4
1260;12;25;6;2;3
1270;11;26;6;2;6
1280;13;26;4;2;6
1290;10;25;5;1;6
1300;11;25;4;1;5
1310;12;25;4;1;11
1320;11;24;2;1;10
1330;11;24;3;1;4
1340;13;24;3;1;6
1350;12;24;3;1;5
1360;11;25;5;1;5
1370;10;23;3;1;2
1380;11;25;3;1;3
1390;10;23;5;1;2
1400;10;21;4;1;8
1410;13;22;5;1;6
1420;17;23;5;1;9
1430;18;24;5;1;6
1440;20;23;7;1;9
1450;21;24;6;1;8
1460;22;23;6;2;2
1470;19;22;7;2;6
1480;18;20;8;1;4
1490;23;20;9;1;2
1500;28;19;9;1;4
1510;25;16;9;1;3
1520;23;14;9;2;7
1530;18;11;9;2;7
1540;20;10;8;1;7
1550;21;10;8;1;8
1560;22;7;8;1;3
1570;23;6;10;1;4
1580;19;6;10;2;7
1590;19;5;11;1;4
1600;19;7;11;2;6
1610;19;4;10;2;3
1620;16;6;13;1;6
1630;19;8;15;1;7
1640;21;7;13;1;6
1650;19;7;15;1;4
1660;20;9;14;1;4
1670;19;10;15;1;0
1680;20;12;16;1;5
1690;20;12;18;1;9
1700;25;13;20;1;4
1710;22;14;21;1;7
1720;19;17;19;1;8
1730;16;18;18;1;7
1740;18;17;21;1;4
1750;16;17;20;1;7
1760;16;16;18;1;5
1770;20;18;16;1;5
1780;24;19;13;1;4
1790;26;20;14;1;1
1800;27;18;13;1;2
1810;30;18;14;1;5
1820;25;18;14;1;2
1830;24;15;13;1;2
1840;24;15;14;1;3
1850;25;14;13;1;6
1860;24;13;13;1;6
1870;20;14;14;1;3
1880;20;14;15;1;4
1890;21;14;16;1;5
1900;19;13;15;1;3
1910;19;14;13;1;4
1920;18;17;13;1;5
1930;19;18;12;1;1
1940;21;19;12;1;5
1950;19;21;12;1;3
1960;21;24;14;1;2
1970;25;26;15;1;6
1980;27;26;16;1;1
1990;28;26;17;1;4
2000;32;27;18;1;4
2010;29;26;14;1;4
2020;21;26;13;1;6
2030;21;27;14;2;7
2040;23;26;14;1;8
2050;27;26;13;1;8
2060;28;27;12;2;10
2070;24;26;14;2;5
2080;28;28;14;1;9
2090;30;29;13;2;12
2100;33;29;12;2;2
2110;30;29;15;2;5
2120;34;30;17;2;14
2130;35;30;19;2;6
2140;33;29;15;2;4
2150;33;29;13;2;8
2160;36;29;12;2;4
2170;35;28;13;2;7
2180;34;27;13;2;5
2190;34;28;15;2;6
2200;34;28;14;2;12
2210;33;28;14;2;8
2220;35;29;12;2;7
2230;37;27;11;2;7
2240;40;25;13;2;6
2250;39;25;14;2;9
2260;40;24;14;2;12
2270;35;24;15;2;11
2280;33;24;18;2;7
2290;28;25;18;2;12
2300;32;25;19;2;6
2310;36;26;17;2;3
2320;34;26;18;2;7
2330;35;27;20;3;6
2340;36;28;19;2;5
2350;34;29;19;2;6
2360;40;28;23;3;8
2370;42;28;26;2;12
2380;47;27;27;2;7
2390;48;28;27;2;8
2400;45;28;26;2;5
2410;49;28;26;2;9
2420;49;26;21;2;6
2430;54;26;20;2;5
2440;54;26;17;2;9
2450;56;25;14;3;9
2460;59;25;16;2;4
2470;58;25;17;2;6
2480;58;25;16;2;7
2490;57;25;16;2;7
2500;55;25;14;2;5
2510;53;25;14;3;8
2520;53;25;14;3;7
2530;56;25;16;2;10
2540;53;25;16;2;6
2550;50;25;15;2;4
2560;52;26;17;2;8
2570;45;25;25;2;4
2580;45;25;24;2;12
2590;39;25;23;2;5
2600;38;25;24;2;3
2610;36;26;22;2;8
2620;30;25;22;2;5
2630;28;25;23;2;11
2640;29;25;30;2;7
2650;28;25;33;2;5
2660;27;25;31;2;3
2670;29;25;30;2;7
2680;27;26;26;1;9
2690;29;25;27;2;5
2700;30;25;27;2;7
2710;31;25;31;2;5
2720;29;26;30;2;3
2730;26;25;32;2;5
2740;24;25;29;2;6
2750;21;26;28;1;4
2760;20;25;29;1;6
2770;19;25;26;1;4
2780;18;25;22;1;5
2790;18;25;23;1;7
2800;17;25;22;1;7
2810;17;25;21;1;0
2820;19;25;23;1;5
2830;17;26;24;1;7
2840;18;26;29;1;8
2850;19;26;28;2;6
2860;18;25;28;1;4
2870;15;25;30;2;2
2880;14;25;27;1;3
2890;15;27;24;2;8
2900;16;27;23;1;6
2910;16;27;22;2;7
2920;17;27;22;1;3
2930;17;27;23;2;3
2940;17;29;22;1;6
2950;18;29;23;1;9
2960;18;31;26;1;6
2970;20;31;24;1;9
2980;20;31;24;1;8
2990;19;31;24;1;5
3000;17;32;23;1;2
3010;18;31;22;1;0
3020;19;31;22;1;4
3030;22;30;23;1;4
3040;22;29;29;1;2
3050;25;30;34;1;5
3060;24;31;33;1;2
3070;23;31;34;1;4
3080;23;33;37;1;6
