Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;1;1;0;0;2
20;0;0;5;0;0
30;1;0;9;0;2
40;4;1;15;0;3
50;8;4;19;0;5
60;11;8;22;1;4
70;18;11;19;1;5
80;21;13;39;1;2
90;22;14;54;1;1
100;26;15;59;0;2
110;26;11;62;0;2
120;29;8;59;1;6
130;31;8;57;1;2
140;43;9;53;1;6
150;44;7;53;1;6
160;50;8;53;1;5
170;49;9;50;1;7
180;44;12;42;1;6
190;43;10;38;1;6
200;41;9;32;1;6
210;38;8;32;1;1
220;38;8;31;1;10
230;37;6;30;1;3
240;37;6;30;1;1
250;38;5;31;1;4
260;39;5;30;1;7
270;39;7;31;1;5
280;36;6;32;1;6
290;36;7;32;1;3
300;37;4;30;1;6
310;36;1;31;1;7
320;36;2;31;1;2
330;36;1;31;1;4
340;36;1;30;1;3
350;36;0;29;1;4
360;36;2;30;1;3
370;34;3;31;2;5
380;33;4;31;1;7
390;34;5;32;1;5
400;34;4;32;1;4
410;36;3;32;1;3
420;36;3;31;2;3
430;35;3;30;2;3
440;36;3;30;1;7
450;34;3;30;1;6
460;33;4;28;1;2
470;33;4;28;1;2
480;32;4;28;1;8
490;32;5;29;1;7
500;32;6;28;1;5
510;30;12;30;1;4
520;30;12;33;2;6
530;31;12;32;2;3
540;31;10;35;2;10
550;33;9;34;1;2
560;34;10;35;1;4
570;35;7;33;2;7
580;35;6;33;2;9
590;35;8;33;1;2
600;37;9;33;2;4
610;37;11;34;2;5
620;37;12;33;1;7
630;37;16;33;2;6
640;37;13;33;2;4
650;37;13;34;2;6
660;37;13;35;2;9
670;38;12;35;2;7
680;37;13;36;2;12
690;38;13;35;2;5
700;37;15;35;2;3
710;36;13;35;1;7
720;37;15;35;1;6
730;37;17;36;1;2
740;36;16;35;1;5
750;35;15;35;1;8
760;35;12;35;2;3
770;36;10;35;1;5
780;36;7;35;1;8
790;36;7;35;2;4
800;36;6;34;2;11
810;35;6;35;2;8
820;36;5;35;2;5
830;35;5;35;2;13
840;35;4;34;2;4
850;35;5;34;2;4
860;36;5;35;2;7
870;36;5;34;2;8
880;36;6;35;2;10
890;35;4;36;2;8
900;35;5;36;2;7
910;35;6;35;2;8
920;35;5;35;2;16
930;35;4;35;2;11
940;34;5;34;3;12
950;34;4;34;3;8
960;35;4;34;3;11
970;35;3;34;3;7
980;35;4;34;3;11
990;35;4;34;3;8
1000;34;3;33;3;4
1010;35;4;33;3;6
1020;35;4;32;3;10
1030;35;4;33;3;7
1040;34;4;31;2;5
1050;35;4;31;2;2
1060;34;6;30;2;15
1070;35;6;31;2;6
1080;35;7;31;3;7
1090;35;7;32;3;13
1100;35;9;31;3;7
1110;35;11;31;3;4
1120;34;8;32;3;5
1130;34;8;31;3;5
1140;34;4;31;3;6
1150;35;4;33;3;12
1160;34;3;31;3;14
1170;34;3;30;3;16
1180;34;2;30;4;6
1190;34;3;30;4;3
1200;34;2;29;4;11
1210;34;3;29;3;7
1220;33;3;28;3;13
1230;33;4;29;3;9
1240;33;4;29;3;4
1250;33;5;29;3;15
1260;34;4;30;3;11
1270;33;5;30;3;12
1280;34;7;30;3;9
1290;34;8;31;3;10
1300;33;9;32;3;12
1310;33;10;32;3;6
1320;33;8;32;3;7
1330;33;11;31;4;6
1340;34;10;32;3;12
1350;34;9;31;3;7
1360;34;10;31;3;10
1370;34;11;31;3;5
1380;35;10;31;3;11
1390;34;11;31;3;12
1400;34;10;31;3;8
1410;34;13;32;3;8
1420;35;13;32;3;9
1430;37;14;32;3;11
1440;35;13;32;3;10
1450;35;12;33;3;7
1460;36;10;34;3;9
1470;36;9;33;3;10
1480;35;7;34;3;12
1490;36;9;33;3;7
1500;35;11;32;3;14
1510;34;11;32;3;12
1520;35;14;33;3;5
1530;35;14;33;3;9
1540;35;10;33;3;12
1550;35;12;33;3;7
1560;35;12;33;3;10
1570;35;10;35;4;11
1580;36;10;32;3;9
1590;36;13;32;3;7
1600;36;14;33;3;8
1610;36;16;35;3;14
1620;38;16;35;2;13
1630;39;11;32;3;10
1640;40;10;31;3;9
1650;38;10;32;2;8
1660;37;11;31;3;13
1670;36;6;31;3;12
1680;35;5;31;3;7
1690;36;5;32;3;11
1700;35;4;32;3;5
1710;36;3;32;3;12
1720;36;3;32;2;7
1730;35;2;31;2;10
1740;35;3;31;2;7
1750;35;2;32;2;4
1760;36;2;32;2;8
1770;35;1;32;2;4
1780;35;1;31;2;8
1790;35;1;31;2;8
1800;35;1;31;1;8
1810;35;1;32;1;4
1820;34;1;31;1;5
1830;34;1;31;1;0
1840;34;1;30;1;5
1850;33;2;31;2;5
1860;34;1;32;2;4
1870;33;2;32;1;4
1880;33;2;31;2;3
1890;33;1;31;2;6
1900;33;1;31;1;4
1910;33;1;31;1;6
1920;33;1;31;1;2
1930;33;1;31;1;3
1940;33;4;31;1;4
1950;34;4;31;1;5
1960;33;3;31;0;1
1970;33;2;33;0;4
1980;33;3;31;0;4
1990;33;2;32;1;1
2000;33;3;31;2;2
2010;33;1;31;1;4
2020;34;1;31;1;1
2030;34;2;32;1;2
2040;33;2;32;1;4
2050;33;2;31;1;6
2060;33;3;32;1;4
2070;33;2;32;1;3
2080;33;2;32;2;3
2090;32;2;31;2;4
2100;33;1;31;1;5
2110;33;2;31;2;7
2120;33;2;31;2;5
2130;33;2;31;1;2
2140;33;2;32;1;4
2150;33;2;32;1;7
2160;33;2;32;1;8
2170;33;4;31;1;5
2180;33;3;30;2;4
2190;33;5;30;2;7
2200;33;4;31;2;4
2210;33;6;30;3;11
2220;33;4;31;2;6
2230;32;4;31;2;11
2240;33;2;31;2;8
2250;32;3;31;2;15
2260;32;3;31;2;5
2270;33;2;30;2;7
2280;33;3;30;2;3
2290;33;1;30;3;4
2300;33;2;31;3;5
2310;33;1;31;2;6
2320;33;3;30;2;10
2330;33;4;31;2;10
2340;33;4;31;2;7
2350;32;5;31;2;4
2360;32;2;31;2;9
2370;32;2;30;2;5
2380;32;2;30;2;11
2390;32;2;30;2;3
2400;32;2;30;2;6
2410;32;3;30;2;3
2420;31;3;32;1;2
2430;32;3;32;1;4
2440;32;3;32;1;5
2450;33;2;31;1;9
2460;32;1;31;2;2
2470;32;3;31;2;3
2480;32;1;31;2;8
2490;32;1;31;2;7
2500;32;2;32;1;7
2510;32;2;31;1;5
2520;32;3;31;2;3
2530;32;2;30;1;6
2540;32;3;31;2;6
2550;32;3;31;2;6
2560;32;2;31;2;5
2570;32;3;31;2;3
2580;32;4;31;2;7
2590;31;4;32;2;2
2600;32;5;31;2;5
2610;32;6;30;2;4
2620;32;6;31;1;3
2630;33;5;30;2;5
2640;33;5;31;1;7
2650;34;4;31;1;3
2660;35;4;32;2;5
2670;34;2;32;1;3
2680;33;2;31;2;5
2690;33;2;31;2;7
2700;33;3;31;2;2
2710;32;2;31;2;5
2720;31;2;31;2;9
2730;32;2;30;2;7
2740;32;3;32;2;6
2750;32;4;32;2;3
2760;32;4;32;2;3
2770;32;6;31;2;7
2780;32;3;31;1;7
2790;32;3;31;2;8
2800;32;3;31;2;9
2810;32;3;32;2;8
2820;32;2;31;1;6
2830;32;1;31;1;8
2840;32;2;31;1;4
2850;32;2;31;1;7
2860;32;1;31;1;5
2870;31;2;32;1;3
2880;31;2;31;1;3
2890;31;3;31;1;4
2900;31;2;31;1;4
2910;32;2;31;1;3
2920;31;2;31;1;3
2930;32;3;31;2;4
2940;32;4;31;1;5
2950;32;3;31;2;5
2960;32;4;31;1;4
2970;31;4;32;1;4
2980;32;5;33;1;4
2990;32;4;33;1;5
3000;32;5;36;2;4
3010;31;4;36;1;5
3020;31;3;34;1;7
3030;31;4;33;1;5
3040;31;4;31;1;4
3050;32;2;31;1;0
3060;31;4;31;1;10
3070;32;7;31;1;2
3080;31;9;31;1;9
