Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;1;1;3;0;2
20;1;0;18;0;1
30;2;3;28;0;0
40;3;5;44;0;1
50;3;6;52;0;1
60;1;4;55;0;1
70;1;4;56;0;1
80;1;7;57;0;2
90;1;13;56;0;1
100;2;11;58;1;2
110;1;14;59;3;12
120;3;18;67;1;7
130;1;10;77;1;4
140;1;4;78;1;4
150;2;0;77;1;7
160;1;0;77;0;2
170;0;0;78;0;1
180;0;0;77;1;3
190;0;1;76;0;1
200;0;0;77;0;4
210;0;0;76;0;1
220;0;0;76;1;1
230;0;0;77;1;7
240;0;0;78;0;5
250;0;2;77;0;2
260;0;0;75;0;3
270;0;0;77;0;3
280;0;0;77;0;4
290;0;0;76;0;0
300;0;0;78;0;3
310;0;0;77;0;1
320;0;0;79;0;2
330;0;1;79;0;3
340;2;1;78;0;0
350;0;1;77;0;0
360;0;0;78;0;2
370;1;0;77;0;2
380;0;0;76;1;3
390;0;0;76;0;2
400;0;1;76;0;2
410;0;0;78;0;1
420;0;0;77;0;3
430;0;0;78;0;2
440;1;0;78;0;0
450;1;0;80;0;6
460;0;0;80;1;4
470;0;0;79;0;4
480;0;0;77;0;1
490;0;0;78;1;4
500;0;0;79;0;1
510;2;0;80;1;3
520;1;0;80;1;3
530;0;0;76;1;2
540;0;0;76;1;6
550;0;0;75;1;2
560;0;0;75;1;3
570;1;0;75;0;2
580;1;0;75;0;2
590;0;0;75;0;2
600;0;0;78;0;3
610;0;1;78;0;1
620;1;1;73;0;1
630;0;1;76;0;3
640;1;2;83;0;5
650;0;2;83;0;0
660;1;2;82;0;2
670;1;2;82;0;6
680;0;2;80;0;4
690;0;0;79;0;3
700;1;0;80;0;5
710;0;0;78;0;2
720;0;0;77;0;2
730;0;1;74;0;4
740;1;1;76;0;1
750;1;3;81;0;2
760;1;0;79;0;1
770;1;0;79;0;0
780;0;1;79;1;2
790;0;1;79;1;1
800;1;1;79;0;1
810;1;1;78;0;2
820;0;0;77;0;4
830;0;0;77;0;2
840;0;1;79;0;0
850;0;1;77;0;0
860;0;1;77;0;3
870;0;0;76;0;6
880;0;0;78;0;2
890;1;0;77;0;4
900;1;0;79;0;2
910;1;0;80;0;5
920;1;0;80;0;2
930;1;0;81;0;2
940;0;0;82;0;2
950;1;0;79;0;2
960;1;1;76;0;2
970;0;1;78;0;1
980;0;0;75;0;0
990;0;0;74;0;1
1000;0;1;77;0;1
1010;0;1;75;0;4
1020;0;0;77;1;0
1030;0;0;79;0;1
1040;0;0;79;0;3
1050;0;0;81;0;0
1060;0;1;82;0;1
1070;0;0;82;0;2
1080;0;1;81;0;1
1090;0;1;81;0;3
1100;0;1;82;0;3
1110;1;1;81;0;3
1120;0;0;80;0;2
1130;0;0;80;0;2
1140;0;0;79;0;3
1150;0;0;79;0;1
1160;0;0;81;0;1
1170;0;1;80;0;3
1180;0;1;82;1;6
1190;0;2;83;1;1
1200;0;2;84;0;3
1210;0;1;82;0;1
1220;0;0;82;0;3
1230;0;0;82;0;1
1240;0;0;82;1;2
1250;1;0;81;0;1
1260;2;0;80;0;2
1270;0;0;79;0;2
1280;0;0;78;0;0
1290;0;0;79;0;1
1300;1;2;81;0;0
1310;1;1;83;1;8
1320;0;0;83;0;2
1330;0;0;85;0;1
1340;0;0;85;0;2
1350;0;0;85;0;2
1360;0;0;83;0;0
1370;1;0;81;0;4
1380;1;0;83;0;1
1390;0;0;83;0;1
1400;1;0;84;0;0
1410;0;0;84;0;1
1420;0;0;85;0;4
1430;0;0;84;0;0
1440;0;1;84;0;2
1450;0;2;86;0;1
1460;0;0;86;0;3
1470;0;0;86;0;2
1480;0;0;85;0;0
1490;0;0;85;0;0
1500;0;0;86;0;2
1510;0;0;84;0;2
1520;1;0;85;0;4
1530;1;1;84;0;1
1540;0;0;85;0;3
1550;0;0;84;0;6
1560;0;0;84;0;1
1570;1;0;84;0;0
1580;0;0;84;1;1
1590;0;0;87;0;3
1600;0;0;88;0;5
1610;0;0;86;0;0
1620;0;0;85;0;3
1630;0;0;85;0;1
1640;0;0;84;0;1
1650;0;0;82;0;5
1660;0;0;80;0;2
1670;0;2;85;0;3
1680;0;3;85;0;4
1690;1;2;88;0;6
1700;0;2;89;0;2
1710;0;0;91;1;2
1720;1;0;91;0;3
1730;0;0;90;0;4
1740;0;0;88;0;3
1750;0;0;88;0;2
1760;0;0;86;0;1
1770;0;0;84;1;5
1780;0;0;82;0;0
1790;1;0;84;0;2
1800;2;0;83;0;1
1810;1;0;83;0;0
1820;0;0;84;0;1
1830;0;1;84;0;1
1840;0;0;81;0;3
1850;0;0;79;0;2
1860;1;1;82;0;3
1870;0;0;82;0;4
1880;1;1;79;0;4
1890;0;1;81;0;2
1900;0;1;79;0;3
1910;0;0;81;0;3
1920;0;0;83;0;4
1930;0;0;83;0;1
1940;0;0;82;0;4
1950;0;0;82;1;5
1960;0;0;83;0;0
1970;0;0;81;0;1
1980;1;1;82;0;1
1990;2;0;84;0;1
2000;1;0;86;0;0
2010;0;0;85;0;4
2020;0;0;84;0;0
2030;0;0;84;0;4
2040;1;0;84;0;0
2050;1;0;87;0;3
2060;1;0;86;0;2
2070;1;0;84;0;0
2080;1;0;86;0;0
2090;0;0;86;0;1
2100;1;0;86;0;2
2110;1;0;88;0;2
2120;1;0;85;0;2
2130;0;0;86;0;0
2140;0;0;87;0;1
2150;0;0;87;0;1
2160;1;0;87;0;0
2170;0;0;88;0;1
2180;0;0;86;0;0
2190;1;0;86;0;0
2200;0;0;83;0;1
2210;0;0;88;0;0
2220;0;0;86;0;1
2230;0;0;86;0;3
2240;1;0;90;0;1
2250;0;0;89;0;1
2260;0;1;89;0;2
2270;0;0;88;0;3
2280;0;0;87;0;2
2290;1;0;85;0;2
2300;1;0;84;0;0
2310;0;0;83;0;1
2320;0;0;81;0;1
2330;0;0;78;0;3
2340;0;0;80;0;2
2350;0;0;81;0;1
2360;1;0;81;0;1
2370;0;0;81;0;3
2380;1;1;77;0;1
2390;0;0;77;0;3
2400;1;0;76;0;2
2410;0;0;76;0;1
2420;1;1;74;0;1
2430;0;0;74;0;2
2440;1;0;72;0;2
2450;0;0;76;0;1
2460;0;0;76;0;1
2470;0;0;78;0;0
2480;0;0;79;1;3
2490;0;0;81;0;0
2500;0;0;78;0;3
2510;0;1;77;0;3
2520;0;0;77;0;2
2530;0;0;77;0;1
2540;0;0;74;0;0
2550;0;0;72;0;3
2560;0;0;68;0;4
2570;0;1;67;0;1
2580;1;1;68;0;1
2590;0;0;67;0;2
2600;2;0;68;0;3
2610;2;0;69;0;0
2620;1;0;69;0;1
2630;0;0;68;0;1
2640;0;2;71;0;4
2650;0;2;70;0;2
2660;0;1;69;0;2
2670;0;1;71;0;2
2680;1;0;70;0;3
2690;0;0;70;0;2
2700;0;0;73;0;7
2710;0;0;73;0;1
2720;0;0;72;0;2
2730;1;0;74;0;0
2740;1;1;73;0;1
2750;1;0;70;0;0
2760;0;0;71;0;0
2770;0;0;68;1;0
2780;0;0;68;0;1
2790;0;0;66;0;0
2800;1;0;66;0;3
2810;1;0;66;1;2
2820;0;1;67;0;3
2830;1;1;66;0;2
2840;1;1;69;0;2
2850;1;2;72;0;2
2860;1;1;70;0;2
2870;0;1;72;0;1
2880;1;0;74;1;0
2890;1;0;74;1;4
2900;0;0;74;0;2
2910;1;0;74;0;2
2920;1;0;76;0;1
2930;1;0;74;0;3
2940;1;0;72;0;1
2950;1;1;69;0;1
2960;1;0;69;0;2
2970;0;1;70;0;2
2980;0;0;67;0;2
2990;0;0;68;0;3
3000;1;0;66;0;1
3010;1;1;68;0;0
3020;2;1;68;0;4
3030;3;1;68;0;4
3040;0;0;68;1;1
3050;0;0;71;0;3
3060;0;1;67;1;1
3070;0;0;69;0;0
3080;1;0;70;0;2
