Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;0;1;0;7
20;1;0;6;0;15
30;2;0;16;0;4
40;2;0;23;0;12
50;2;1;31;0;19
60;2;2;40;1;20
70;3;3;46;1;19
80;5;3;47;1;14
90;9;3;49;1;24
100;15;4;48;1;25
110;21;4;47;1;31
120;27;5;47;1;27
130;30;5;42;2;38
140;30;4;38;2;28
150;30;4;38;2;38
160;31;4;41;2;56
170;30;4;41;2;34
180;28;5;38;2;39
190;29;6;38;2;35
200;29;6;37;2;34
210;30;5;35;2;25
220;31;7;34;2;28
230;30;7;35;1;40
240;29;7;35;1;23
250;31;6;34;2;27
260;31;6;35;2;37
270;31;5;34;1;25
280;31;5;32;1;29
290;31;5;31;1;33
300;31;6;30;2;22
310;31;5;30;1;24
320;30;4;30;2;25
330;31;3;30;2;32
340;31;4;30;2;24
350;31;4;30;2;26
360;31;4;30;2;16
370;30;4;30;2;32
380;30;5;29;2;24
390;30;5;29;2;28
400;31;5;29;2;40
410;30;5;29;2;32
420;31;4;29;2;38
430;31;4;29;2;44
440;32;3;29;2;42
450;31;4;29;2;29
460;32;5;30;2;36
470;32;5;29;2;36
480;32;5;29;3;44
490;32;5;30;2;48
500;32;4;29;2;36
510;31;4;30;2;34
520;32;3;29;2;37
530;32;3;28;2;33
540;32;2;28;2;38
550;33;2;29;2;26
560;32;2;29;2;33
570;32;2;29;2;35
580;32;2;30;2;38
590;32;2;29;2;36
600;32;2;28;2;35
610;32;2;29;2;26
620;32;2;29;2;27
630;32;1;29;2;32
640;31;2;28;2;32
650;31;2;28;2;28
660;31;2;28;2;38
670;31;3;28;2;25
680;31;4;28;2;38
690;30;3;29;2;33
700;31;3;29;2;35
710;31;3;28;2;31
720;31;3;28;2;30
730;31;4;28;2;37
740;31;3;29;2;45
750;30;3;28;2;39
760;30;3;28;2;33
770;30;2;28;2;34
780;30;2;29;2;32
790;30;2;29;2;32
800;30;1;28;2;34
810;30;1;28;2;35
820;30;2;29;2;29
830;30;2;29;2;27
840;30;3;29;2;24
850;29;4;29;2;21
860;29;4;29;2;30
870;29;4;28;2;31
880;29;4;28;2;44
890;29;4;28;2;37
900;30;4;29;2;32
910;30;4;28;2;38
920;30;4;28;2;40
930;30;4;29;2;29
940;30;4;29;2;37
950;29;3;29;2;33
960;29;3;29;2;30
970;29;3;28;2;24
980;29;3;28;2;41
990;30;3;28;2;30
1000;29;2;29;2;26
1010;29;2;28;2;43
1020;30;3;29;2;25
1030;29;3;29;2;41
1040;29;3;28;2;33
1050;29;2;28;2;38
1060;29;2;29;2;43
1070;29;3;29;2;33
1080;29;3;29;2;40
1090;30;4;28;2;38
1100;30;3;29;2;38
1110;30;3;28;2;31
1120;30;3;28;2;29
1130;30;4;28;2;34
1140;30;3;29;2;35
1150;30;3;28;2;32
1160;30;3;29;2;25
1170;30;2;29;2;30
1180;30;2;29;2;48
1190;30;2;29;2;27
1200;30;2;28;2;43
1210;30;2;28;3;62
1220;30;3;28;3;44
1230;30;2;28;3;37
1240;30;2;29;3;37
1250;30;1;29;2;27
1260;31;2;28;2;47
1270;31;3;28;2;29
1280;30;3;28;2;37
1290;30;3;29;2;43
1300;30;4;28;2;35
1310;30;4;29;2;45
1320;30;5;29;2;39
1330;30;4;28;2;25
1340;30;4;28;2;42
1350;30;3;29;2;34
1360;30;3;28;2;43
1370;30;4;29;2;42
1380;30;4;29;2;29
1390;30;4;29;2;30
1400;30;4;29;2;31
1410;30;5;29;2;43
1420;30;4;30;2;39
1430;30;4;29;2;41
1440;31;4;29;2;30
1450;31;3;29;2;30
1460;31;3;29;2;36
1470;31;3;29;2;39
1480;30;3;28;2;34
1490;29;3;29;2;27
1500;30;2;29;2;35
1510;30;2;28;2;38
1520;30;3;28;2;31
1530;30;4;28;3;44
1540;30;3;28;2;38
1550;29;3;28;2;34
1560;30;3;29;2;43
1570;30;4;29;2;30
1580;30;4;29;2;36
1590;30;3;28;2;28
1600;30;3;28;2;50
1610;29;3;28;2;34
1620;30;3;29;3;45
1630;29;4;28;2;39
1640;29;3;28;2;44
1650;29;3;28;2;35
1660;29;3;29;2;46
1670;30;3;29;2;38
1680;29;3;28;2;46
1690;29;3;28;2;32
1700;29;3;28;2;33
1710;30;3;28;2;32
1720;29;2;29;2;34
1730;29;3;28;2;35
1740;29;3;28;2;39
1750;30;3;29;2;33
1760;29;3;29;2;33
1770;29;3;28;2;29
1780;29;2;28;2;28
1790;29;3;29;2;39
1800;29;4;29;2;29
1810;29;4;29;2;23
1820;30;4;29;2;28
1830;29;5;29;2;28
1840;30;3;28;2;29
1850;29;2;29;2;22
1860;29;3;29;2;34
1870;29;4;28;2;36
1880;30;3;28;2;34
1890;29;5;29;2;27
1900;29;3;28;2;31
1910;29;3;29;2;37
1920;29;3;28;2;34
1930;29;2;29;2;32
1940;29;2;29;2;25
1950;30;2;29;2;31
1960;29;2;28;2;36
1970;30;2;29;2;43
1980;30;1;29;2;48
1990;30;2;29;2;32
2000;30;2;29;2;32
2010;30;2;29;2;42
2020;30;3;29;2;56
2030;30;4;29;2;33
2040;30;4;29;2;31
2050;29;3;29;3;36
2060;29;4;29;2;33
2070;29;4;29;2;35
2080;29;4;29;2;30
2090;29;3;28;2;29
2100;29;2;28;2;42
2110;29;2;28;2;37
2120;29;3;28;2;41
2130;29;3;29;2;29
2140;31;4;29;2;31
2150;30;4;29;2;32
2160;30;3;29;2;47
2170;30;5;28;2;46
2180;29;5;28;2;44
2190;29;3;28;2;39
2200;30;5;28;2;52
2210;30;5;28;2;37
2220;30;5;29;2;34
2230;30;5;29;2;37
2240;30;5;29;2;37
2250;29;5;28;2;36
2260;30;6;29;2;30
2270;30;6;29;2;48
2280;29;7;29;2;48
2290;30;6;29;2;35
2300;29;6;29;2;37
2310;29;7;28;2;21
2320;29;5;28;2;36
2330;29;5;28;2;33
2340;29;5;28;2;34
2350;29;5;29;2;47
2360;30;6;29;2;44
2370;29;6;29;2;38
2380;29;6;30;2;28
2390;29;5;30;2;23
2400;30;5;30;2;19
2410;30;4;30;2;25
2420;30;5;29;2;34
2430;30;5;29;2;35
2440;31;4;29;2;30
2450;30;4;29;2;28
2460;31;4;29;2;43
2470;31;4;28;2;24
2480;30;6;29;2;24
2490;30;6;29;2;33
2500;29;6;30;2;31
2510;30;5;29;2;17
2520;30;5;30;2;25
2530;29;4;29;2;30
2540;29;5;29;2;30
2550;29;5;29;2;27
2560;30;4;29;2;29
2570;29;5;30;2;30
2580;30;6;30;2;46
2590;30;5;30;2;38
2600;31;6;30;2;38
2610;30;6;30;2;33
2620;30;8;30;2;24
2630;30;8;29;2;37
2640;30;7;29;2;37
2650;30;8;29;2;30
2660;30;8;30;2;30
2670;31;8;30;2;42
2680;30;9;30;2;35
2690;30;9;30;2;33
2700;30;11;31;2;47
2710;30;12;35;2;29
2720;31;11;38;2;33
2730;30;12;42;2;42
2740;30;12;44;2;31
2750;30;11;48;2;34
2760;31;9;48;2;30
2770;31;8;46;2;46
2780;31;7;45;2;28
2790;31;7;41;2;31
2800;30;7;39;2;35
2810;30;8;41;2;30
2820;30;8;38;2;29
2830;30;10;39;2;28
2840;30;11;43;2;38
2850;30;10;44;2;39
2860;30;9;43;2;31
2870;30;10;43;2;37
2880;31;9;42;2;39
2890;30;10;38;2;31
2900;30;10;38;2;29
2910;29;10;38;2;37
2920;30;10;40;2;30
2930;30;10;43;2;32
2940;30;9;40;2;34
2950;30;9;37;2;22
2960;31;8;35;2;29
2970;31;8;34;2;35
2980;32;9;33;2;29
2990;32;9;33;2;29
3000;32;8;33;2;37
3010;32;7;33;2;31
3020;33;8;33;2;33
3030;32;7;32;2;19
3040;33;7;31;2;34
3050;32;8;32;2;32
3060;33;7;31;2;29
3070;33;7;31;2;26
3080;33;7;31;2;32
