Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;0;0;0;0
20;0;1;0;0;1
30;0;1;0;0;4
40;0;0;0;0;2
50;0;0;0;0;0
60;0;0;0;0;0
70;0;0;0;0;0
80;0;0;0;0;0
90;0;0;0;0;0
100;0;0;0;0;0
110;0;0;0;0;1
120;0;0;0;1;3
130;0;0;0;0;0
140;0;0;0;0;1
150;0;0;0;0;0
160;0;0;0;0;0
170;0;0;0;0;1
180;0;0;0;0;0
190;0;0;0;0;2
200;0;0;0;0;1
210;0;0;0;0;6
220;0;0;0;0;1
230;0;0;0;0;2
240;0;1;0;0;0
250;0;1;0;0;0
260;0;1;0;0;2
270;0;1;0;0;2
280;0;1;0;0;0
290;0;1;0;0;1
300;1;1;0;0;0
310;1;3;0;0;0
320;0;2;0;0;1
330;0;1;0;0;3
340;0;1;0;0;6
350;0;1;0;1;2
360;1;1;0;0;5
370;1;2;0;0;0
380;0;1;0;0;3
390;0;1;0;0;0
400;1;1;0;0;2
410;0;1;0;0;0
420;0;1;0;0;2
430;0;0;0;0;1
440;0;1;0;0;0
450;1;1;0;0;1
460;0;1;0;0;0
470;0;1;0;0;0
480;0;2;0;0;1
490;0;1;0;0;0
500;0;0;0;0;2
510;0;0;0;0;3
520;0;1;0;0;1
530;1;1;0;0;0
540;1;0;0;0;2
550;0;0;0;0;2
560;1;0;0;0;0
570;1;0;0;0;1
580;1;1;0;0;0
590;1;1;0;0;2
600;1;0;0;0;3
610;1;0;0;0;0
620;1;0;0;0;1
630;1;0;0;0;0
640;0;1;0;0;1
650;1;1;0;0;3
660;0;1;0;0;0
670;0;2;0;0;1
680;1;3;0;0;0
690;1;1;0;0;1
700;1;1;0;0;3
710;1;1;0;0;1
720;1;2;0;0;2
730;1;0;0;0;1
740;1;0;0;0;2
750;0;1;0;0;3
760;0;0;0;0;1
770;0;1;0;0;0
780;1;0;0;0;1
790;0;1;0;0;1
800;0;1;0;0;1
810;0;0;0;0;2
820;0;1;0;0;0
830;1;0;0;0;2
840;0;1;0;0;1
850;0;1;0;0;1
860;1;1;0;0;3
870;2;1;0;0;4
880;1;1;0;0;4
890;1;1;0;0;0
900;1;2;0;0;0
910;0;1;0;0;0
920;0;1;0;0;4
930;1;1;0;0;1
940;0;1;0;0;1
950;1;0;0;0;0
960;0;0;0;0;0
970;0;0;0;0;1
980;1;0;0;0;1
990;1;0;0;0;2
1000;0;1;0;0;1
1010;0;1;0;0;0
1020;1;0;0;0;0
1030;1;0;0;0;4
1040;1;1;0;0;1
1050;0;0;0;0;0
1060;0;0;0;0;1
1070;0;0;0;0;1
1080;0;0;0;0;2
1090;0;0;0;0;1
1100;0;0;0;0;1
1110;0;0;0;0;0
1120;0;1;0;0;0
1130;1;0;0;0;0
1140;0;0;0;0;1
1150;1;0;0;0;0
1160;1;0;0;0;0
1170;0;1;0;0;0
1180;1;0;0;0;1
1190;1;0;0;0;0
1200;1;0;0;0;2
1210;2;0;0;0;1
1220;1;0;0;0;2
1230;1;0;0;0;0
1240;1;0;0;0;1
1250;1;0;0;0;2
1260;1;0;0;0;1
1270;1;0;0;0;0
1280;0;0;0;0;1
1290;1;0;0;0;3
1300;0;1;0;0;4
1310;0;0;0;0;0
1320;0;1;0;0;1
1330;0;0;0;0;3
1340;0;0;0;0;3
1350;0;0;0;0;2
1360;0;0;0;0;3
1370;0;0;0;0;1
1380;0;1;0;0;4
1390;1;0;0;0;0
1400;1;0;0;0;1
1410;0;0;0;0;5
1420;0;0;0;0;2
1430;0;0;0;0;2
1440;0;1;0;0;1
1450;1;1;0;0;0
1460;0;1;0;0;0
1470;0;0;0;0;1
1480;0;0;0;0;0
1490;0;0;0;0;0
1500;0;0;0;0;2
1510;0;0;0;0;0
1520;1;0;0;0;1
1530;1;0;0;0;0
1540;1;0;0;0;1
1550;0;0;0;0;0
1560;1;0;0;0;2
1570;0;0;0;0;3
1580;1;0;0;0;1
1590;1;0;0;0;2
1600;1;0;0;0;1
1610;0;0;0;0;0
1620;0;0;0;0;0
1630;1;1;0;0;0
1640;0;0;0;0;3
1650;0;0;0;0;1
1660;1;0;0;0;0
1670;0;0;0;0;0
1680;0;0;0;0;0
1690;0;1;0;0;1
1700;0;0;0;0;0
1710;0;1;0;0;1
1720;0;0;0;0;1
1730;0;0;0;0;1
1740;0;0;0;0;2
1750;0;1;0;0;1
1760;0;0;0;0;2
1770;1;0;0;0;2
1780;1;0;0;0;3
1790;1;1;0;0;0
1800;1;2;0;0;0
1810;0;0;0;0;2
1820;0;1;0;0;1
1830;0;0;0;0;3
1840;1;0;0;0;4
1850;0;0;0;0;1
1860;0;0;0;0;1
1870;0;0;0;0;0
1880;0;0;0;0;0
1890;0;0;0;0;0
1900;0;0;0;0;2
1910;0;0;0;0;1
1920;0;0;0;0;3
1930;0;0;0;0;2
1940;0;0;0;0;1
1950;0;0;0;0;4
1960;0;0;0;0;1
1970;0;0;0;0;0
1980;0;0;0;0;3
1990;0;0;0;0;1
2000;0;0;0;0;1
2010;0;0;0;0;0
2020;0;0;0;0;3
2030;0;1;0;0;2
2040;0;1;0;0;1
2050;0;0;0;0;2
2060;0;1;0;0;2
2070;0;1;0;0;1
2080;0;0;0;0;1
2090;0;0;0;1;2
2100;1;0;0;0;1
2110;0;1;0;0;2
2120;0;0;0;0;1
2130;1;0;0;0;2
2140;1;0;0;0;1
2150;0;0;0;0;3
2160;0;0;0;0;1
2170;1;0;0;0;2
2180;1;0;0;0;0
2190;1;0;0;0;0
2200;1;1;0;0;2
2210;1;1;0;0;2
2220;1;1;0;0;1
2230;0;0;0;0;0
2240;0;0;0;0;2
2250;0;0;0;0;3
2260;1;0;0;0;3
2270;0;0;0;0;0
2280;0;0;0;0;2
2290;0;0;0;0;2
2300;0;0;0;0;0
2310;1;1;0;0;1
2320;1;1;0;0;2
2330;1;0;0;0;0
2340;1;1;0;0;2
2350;2;0;0;0;1
2360;2;0;0;0;0
2370;1;0;0;0;1
2380;1;1;0;0;0
2390;0;0;0;0;4
2400;0;0;0;0;4
2410;0;0;0;0;0
2420;0;0;0;1;2
2430;0;0;0;0;1
2440;0;0;0;0;4
2450;1;0;0;0;0
2460;0;0;0;0;0
2470;0;0;0;0;6
2480;0;0;0;0;2
2490;1;0;0;0;0
2500;0;0;0;1;2
2510;1;0;0;0;3
2520;1;1;0;0;2
2530;1;0;0;0;1
2540;0;0;0;0;0
2550;0;0;0;0;0
2560;0;0;0;0;0
2570;0;0;0;0;2
2580;0;0;0;0;0
2590;0;0;0;0;0
2600;0;0;0;0;2
2610;1;0;0;0;1
2620;0;0;0;0;0
2630;0;0;0;0;1
2640;0;0;0;0;1
2650;0;1;0;0;4
2660;0;0;0;0;1
2670;1;0;0;0;1
2680;1;0;0;0;0
2690;1;0;0;0;1
2700;1;0;0;0;3
2710;1;0;0;1;0
2720;0;0;0;0;1
2730;1;0;0;0;0
2740;0;0;0;0;1
2750;0;0;0;0;0
2760;0;0;0;0;2
2770;0;0;0;0;1
2780;0;0;0;0;2
2790;0;0;0;0;1
2800;0;0;0;0;2
2810;0;0;0;0;0
2820;0;0;0;0;0
2830;0;0;0;0;1
2840;0;0;0;0;0
2850;1;0;0;0;1
2860;0;0;0;0;0
2870;0;1;0;0;1
2880;0;0;0;0;2
2890;0;1;0;0;1
2900;1;1;0;0;1
2910;0;1;0;0;1
2920;0;1;0;0;1
2930;0;1;0;0;1
2940;0;1;0;0;2
2950;1;1;0;0;3
2960;1;1;0;0;1
2970;1;0;0;0;3
2980;1;0;0;0;1
2990;0;0;0;0;2
3000;0;0;0;0;0
3010;1;0;0;0;1
3020;1;0;0;0;0
3030;1;0;0;0;4
3040;0;0;0;0;2
3050;0;1;0;0;1
3060;0;0;0;0;0
3070;0;0;0;0;0
3080;0;0;0;0;2
