Date,AgeAdult,AgeMax,BatchMode,DNAFill,DenunciationCost,DifferentialCosts,DisplayPeriod,DumpStart,EraseNetwork,FriendshipValue,GeneCoding,GeneLength,GroupMinSize,HonoringCost,JoiningBonus,Judas,MaxFriends,MaxOffer,MutationRate,NbCrossover,NbInteractions,NbTraitors,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,SelectionPressure,Selectivity,StartFromFile,TimeLimit,Title,LastStep,Patriot,NonPatriot,Demand,SelfSacrifice,NbHeroes
190325173701,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,50,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
190325173814,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,5,5,1,100,0,1,200,10,15,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,2,0,0,1
190325180312,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,100,5,1,100,0,1,200,10,15,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,1
190325181643,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,50,5,1,100,0,1,200,10,50,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,2
190325183445,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,5,5,1,100,0,1,200,10,15,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,2,0,0,1
190325190202,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,100,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
190325190932,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,50,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
190325192350,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,75,5,1,100,0,1,200,10,15,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,2,0,0,1
190325194350,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,75,5,1,100,0,1,200,10,15,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,2,0,0,1
190325202500,0,40,1,0,100,0,10,5000,0,10,Weighted,8,0,100,10,,10,75,5,1,100,0,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,0,0,1
