Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;1;0;0;1
20;1;0;1;0;1
30;2;1;3;0;0
40;2;4;9;0;2
50;4;8;15;0;1
60;6;12;16;0;1
70;7;14;17;0;0
80;7;20;18;0;0
90;8;29;21;0;0
100;9;35;23;0;2
110;10;32;38;1;1
120;13;31;56;1;0
130;18;33;62;0;2
140;21;32;62;0;1
150;26;27;62;0;3
160;31;16;62;0;1
170;38;13;62;0;1
180;51;13;62;0;1
190;57;10;62;0;0
200;67;10;62;0;0
210;72;11;62;0;0
220;75;9;62;0;0
230;75;8;63;0;1
240;75;6;62;0;2
250;74;6;62;0;2
260;75;5;62;0;3
270;75;5;62;0;3
280;75;4;62;1;2
290;75;3;62;0;2
300;75;3;61;1;2
310;75;5;61;1;4
320;75;5;60;0;4
330;75;7;60;0;3
340;75;8;61;0;5
350;75;7;61;0;2
360;75;7;60;0;1
370;75;8;61;0;3
380;75;7;61;0;3
390;75;8;62;0;0
400;75;7;62;1;0
410;75;5;62;0;0
420;74;4;62;0;1
430;74;3;63;0;0
440;75;3;62;0;0
450;74;2;62;0;1
460;75;2;62;0;3
470;75;2;62;0;2
480;75;2;62;0;1
490;75;2;62;0;1
500;75;2;62;1;1
510;75;2;62;1;2
520;75;3;62;1;4
530;75;3;62;1;1
540;75;4;61;1;3
550;75;4;62;1;5
560;75;4;61;1;4
570;75;5;61;1;5
580;75;5;61;1;0
590;75;5;61;1;4
600;75;5;62;1;0
610;75;6;61;1;5
620;75;6;62;1;2
630;76;6;61;1;3
640;75;7;61;1;3
650;75;6;61;1;5
660;75;6;61;1;5
670;75;6;61;1;3
680;75;7;62;1;6
690;75;7;62;0;3
700;75;6;62;0;2
710;75;5;62;0;2
720;75;6;61;0;2
730;74;5;61;0;2
740;74;5;61;0;2
750;73;5;61;0;1
760;74;5;61;0;2
770;74;5;60;1;2
780;74;5;61;0;3
790;74;5;61;0;2
800;72;5;62;0;1
810;73;7;61;1;3
820;71;7;61;0;5
830;71;8;59;1;0
840;69;8;58;1;2
850;69;9;57;1;2
860;66;9;55;1;4
870;65;11;55;0;2
880;65;11;53;0;1
890;64;11;53;1;2
900;63;11;53;0;1
910;60;11;52;0;1
920;58;10;51;0;2
930;58;12;51;0;3
940;56;14;51;0;3
950;56;12;51;0;3
960;55;14;50;0;8
970;53;11;50;0;3
980;53;11;50;0;2
990;52;10;50;0;4
1000;52;10;50;1;2
1010;52;10;50;0;1
1020;51;10;50;0;2
1030;51;10;50;0;2
1040;51;12;50;0;3
1050;51;11;51;0;2
1060;51;12;50;0;2
1070;51;11;50;0;4
1080;51;12;50;0;1
1090;50;12;50;1;2
1100;50;15;50;0;6
1110;51;14;50;1;3
1120;51;14;50;1;4
1130;51;16;50;0;0
1140;51;15;50;0;2
1150;51;17;50;1;6
1160;51;19;50;1;4
1170;50;18;50;0;3
1180;51;21;50;1;1
1190;51;23;50;0;5
1200;51;21;50;0;3
1210;51;23;50;0;3
1220;50;23;50;0;2
1230;51;21;50;0;1
1240;51;24;50;0;0
1250;51;22;50;0;2
1260;51;20;50;0;2
1270;51;21;50;0;4
1280;51;19;50;0;8
1290;51;20;50;0;3
1300;50;20;50;0;1
1310;50;22;50;0;3
1320;51;23;50;0;3
1330;50;20;50;0;3
1340;51;21;50;0;0
1350;51;19;50;0;2
1360;51;19;50;0;2
1370;50;12;50;0;2
1380;50;12;50;0;3
1390;50;14;50;0;1
1400;50;11;50;0;3
1410;50;13;50;0;0
1420;51;11;50;0;1
1430;51;11;50;0;1
1440;51;11;50;0;1
1450;51;10;50;0;1
1460;51;10;50;0;0
1470;51;8;50;0;1
1480;51;9;50;0;0
1490;51;9;50;0;1
1500;51;8;50;0;3
1510;51;9;50;1;4
1520;51;9;50;0;5
1530;51;10;50;1;1
1540;51;12;50;0;2
1550;51;12;50;1;3
1560;51;13;50;1;5
1570;51;14;50;1;5
1580;51;14;50;1;3
1590;51;15;50;1;4
1600;51;17;50;1;1
1610;51;17;50;1;3
1620;51;19;50;1;1
1630;51;18;50;1;5
1640;51;16;50;1;5
1650;51;14;50;1;3
1660;51;14;50;1;4
1670;51;14;50;1;2
1680;51;14;50;0;2
1690;51;14;50;1;5
1700;51;13;50;1;4
1710;51;14;50;1;2
1720;51;14;50;1;5
1730;51;14;50;0;2
1740;51;14;51;0;2
1750;51;12;51;0;2
1760;51;11;50;0;4
1770;51;11;51;1;4
1780;51;11;50;1;2
1790;51;10;50;1;1
1800;51;10;50;0;1
1810;51;9;50;0;3
1820;51;8;50;0;1
1830;52;7;50;0;2
1840;52;8;50;0;3
1850;52;7;50;0;1
1860;52;7;50;0;1
1870;52;6;50;0;3
1880;52;6;50;0;3
1890;51;6;51;0;1
1900;52;6;50;0;2
1910;51;6;50;0;1
1920;51;7;50;0;0
1930;51;7;50;0;4
1940;51;7;50;0;1
1950;51;7;50;0;0
1960;51;8;50;0;1
1970;51;8;50;0;0
1980;51;8;50;0;2
1990;51;9;50;0;0
2000;51;9;50;0;1
2010;51;10;50;0;0
2020;51;12;50;0;0
2030;51;12;50;0;2
2040;51;12;50;0;0
2050;51;12;50;0;3
2060;51;13;50;0;2
2070;51;13;50;0;3
2080;51;14;50;0;5
2090;50;15;50;0;2
2100;51;15;50;1;0
2110;50;14;50;0;2
2120;51;14;50;0;4
2130;51;13;50;0;2
2140;51;13;50;0;3
2150;51;12;50;0;1
2160;51;10;50;0;3
2170;51;10;50;0;0
2180;51;11;50;0;1
2190;52;10;50;0;1
2200;52;10;50;0;4
2210;52;9;50;0;1
2220;52;7;50;0;2
2230;52;7;50;0;2
2240;52;8;50;0;4
2250;52;8;50;0;2
2260;52;8;50;0;5
2270;52;10;50;0;3
2280;52;10;50;0;1
2290;51;10;50;0;0
2300;51;9;50;0;5
2310;51;10;50;0;3
2320;51;10;50;0;5
2330;50;11;50;0;2
2340;51;12;50;0;2
2350;51;15;50;0;0
2360;51;18;50;1;2
2370;51;17;50;1;1
2380;51;20;50;1;2
2390;51;22;50;1;7
2400;51;19;50;1;7
2410;51;18;50;1;4
2420;51;16;50;1;2
2430;51;16;50;1;4
2440;51;16;50;1;6
2450;51;16;50;1;1
2460;51;15;50;1;6
2470;51;15;50;1;7
2480;51;17;50;1;1
2490;51;17;50;1;3
2500;52;18;50;1;4
2510;51;18;50;1;7
2520;51;15;50;1;5
2530;51;15;50;1;7
2540;51;14;50;1;3
2550;51;13;50;1;5
2560;51;11;50;1;5
2570;51;12;50;1;7
2580;51;14;50;1;2
2590;51;12;50;1;2
2600;51;14;50;1;6
2610;50;12;51;1;3
2620;51;12;51;1;4
2630;51;12;51;1;3
2640;51;13;50;1;1
2650;51;16;50;1;4
2660;51;16;50;1;7
2670;51;18;50;1;1
2680;51;18;50;1;6
2690;51;18;50;1;5
2700;52;17;50;1;5
2710;51;17;50;1;3
2720;52;17;50;1;3
2730;52;16;50;1;6
2740;52;16;50;1;5
2750;51;18;50;1;6
2760;52;17;50;1;5
2770;51;16;50;1;5
2780;51;17;50;1;4
2790;52;16;50;1;4
2800;51;18;50;1;0
2810;51;18;50;1;5
2820;51;17;50;1;5
2830;52;19;50;1;4
2840;52;22;50;1;2
2850;52;24;50;1;3
2860;53;24;50;1;3
2870;52;24;50;1;4
2880;52;23;50;1;6
2890;52;23;50;1;5
2900;52;22;50;1;8
2910;52;23;50;2;5
2920;51;26;50;2;5
2930;52;25;50;2;3
2940;51;25;50;1;2
2950;52;25;50;1;6
2960;51;27;50;1;4
2970;51;29;50;1;4
2980;51;27;50;1;5
2990;51;27;50;2;1
3000;51;26;50;2;4
3010;51;24;50;1;5
3020;51;19;50;1;3
3030;51;22;50;2;8
3040;51;23;50;2;2
3050;51;19;50;2;5
3060;51;21;50;2;7
3070;51;18;51;2;3
3080;51;17;51;2;10
