Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;1;0;0;0;1
20;2;0;2;0;3
30;3;1;7;0;1
40;3;2;15;0;3
50;4;5;19;0;2
60;5;10;31;0;2
70;5;13;47;0;1
80;6;18;52;0;0
90;10;23;53;1;2
100;9;29;55;0;2
110;9;37;58;1;2
120;13;36;62;0;1
130;10;39;66;1;2
140;10;41;71;1;4
150;9;38;75;1;2
160;12;42;77;1;7
170;17;39;78;1;5
180;16;32;79;1;3
190;9;19;80;1;3
200;7;19;79;1;2
210;3;12;79;1;4
220;3;7;79;1;3
230;3;6;79;0;1
240;2;6;80;0;0
250;2;5;80;0;2
260;2;7;81;0;2
270;2;7;81;1;2
280;1;9;81;0;3
290;2;8;80;0;3
300;3;6;80;0;4
310;3;8;80;1;0
320;3;8;81;1;2
330;4;9;81;0;2
340;3;6;81;1;5
350;3;5;80;0;0
360;3;4;80;0;0
370;3;2;80;0;2
380;4;1;79;0;1
390;3;3;78;0;1
400;5;3;77;0;1
410;9;1;77;0;2
420;16;1;76;0;5
430;32;2;75;0;2
440;41;2;75;0;0
450;48;5;75;1;2
460;57;5;75;1;8
470;58;6;75;1;1
480;64;4;75;1;3
490;70;3;75;1;0
500;70;2;75;1;1
510;74;2;75;1;0
520;75;3;75;1;1
530;75;6;75;0;4
540;76;4;75;0;4
550;76;5;75;0;2
560;75;3;75;0;3
570;75;2;75;1;3
580;75;4;75;1;1
590;75;4;75;1;1
600;75;3;75;1;3
610;76;3;75;1;3
620;76;4;75;1;3
630;76;4;75;1;2
640;76;4;75;1;1
650;75;3;75;0;1
660;76;5;75;0;1
670;76;5;74;1;1
680;75;6;74;0;1
690;75;7;75;1;0
700;75;9;75;1;0
710;76;9;74;1;3
720;75;8;75;1;5
730;75;8;75;0;4
740;75;8;75;1;3
750;75;9;75;0;1
760;75;10;75;1;2
770;76;9;75;0;3
780;76;9;75;1;1
790;76;9;74;0;2
800;76;9;74;0;1
810;76;8;75;0;3
820;75;8;75;1;0
830;75;7;75;1;0
840;75;6;75;1;4
850;76;5;74;1;3
860;76;4;74;1;3
870;76;4;74;1;2
880;75;4;74;1;2
890;76;5;75;1;3
900;76;5;75;1;2
910;75;6;75;0;2
920;76;7;75;1;4
930;76;6;75;0;1
940;76;7;75;1;1
950;76;5;75;1;6
960;75;6;75;1;3
970;76;6;75;1;5
980;76;6;75;0;1
990;75;7;75;0;2
1000;75;7;75;0;6
1010;76;7;75;0;1
1020;75;8;74;0;0
1030;75;8;75;0;3
1040;75;7;75;0;3
1050;75;7;75;0;3
1060;75;6;75;0;3
1070;75;6;75;0;1
1080;75;5;75;1;4
1090;75;6;75;1;1
1100;75;4;75;0;5
1110;75;5;75;0;2
1120;75;6;75;1;3
1130;75;5;75;1;3
1140;75;5;74;0;2
1150;75;7;75;0;2
1160;75;6;75;0;2
1170;75;8;75;1;3
1180;75;8;75;0;4
1190;75;10;75;0;1
1200;75;9;75;0;1
1210;75;10;75;0;0
1220;75;9;75;0;1
1230;76;9;75;0;3
1240;75;10;75;1;0
1250;75;11;75;1;3
1260;75;11;75;0;2
1270;76;11;75;1;3
1280;76;10;75;1;1
1290;76;9;74;0;3
1300;75;8;75;0;5
1310;75;8;75;1;1
1320;75;4;75;0;3
1330;75;5;75;0;2
1340;75;4;75;0;0
1350;75;4;74;1;3
1360;75;5;75;0;1
1370;75;5;74;0;2
1380;75;5;74;0;2
1390;75;4;74;0;2
1400;75;5;75;0;1
1410;75;4;75;1;3
1420;75;4;74;0;0
1430;75;4;75;1;1
1440;75;4;75;0;2
1450;76;3;75;0;2
1460;75;4;75;0;2
1470;76;3;75;0;1
1480;76;4;75;0;2
1490;76;3;75;0;3
1500;75;4;75;0;1
1510;75;4;75;0;3
1520;75;5;75;0;3
1530;75;4;75;0;5
1540;75;5;75;0;1
1550;75;6;75;0;3
1560;75;7;75;0;1
1570;75;7;75;0;3
1580;75;6;75;0;3
1590;75;6;75;0;2
1600;75;7;75;0;2
1610;75;8;75;0;2
1620;75;9;75;0;2
1630;75;8;74;1;1
1640;75;9;75;0;5
1650;75;9;75;0;5
1660;75;8;75;0;3
1670;76;6;75;0;1
1680;75;7;75;0;1
1690;75;7;75;0;1
1700;75;8;75;0;4
1710;76;9;75;0;0
1720;76;6;75;0;2
1730;76;7;75;0;2
1740;75;7;75;0;2
1750;76;6;75;0;2
1760;75;8;75;0;1
1770;76;7;75;0;3
1780;76;5;75;0;0
1790;75;5;75;0;4
1800;76;4;75;0;1
1810;76;4;75;0;2
1820;76;4;75;1;3
1830;76;4;75;1;2
1840;76;4;74;1;2
1850;77;5;74;1;0
1860;76;4;74;1;3
1870;76;4;75;0;3
1880;76;4;74;0;0
1890;76;4;74;0;2
1900;76;4;75;0;2
1910;76;4;74;0;6
1920;76;5;75;0;3
1930;76;5;74;0;2
1940;76;5;74;0;5
1950;76;4;74;1;3
1960;76;4;74;0;2
1970;76;5;74;0;2
1980;76;6;75;1;5
1990;76;7;75;1;5
2000;76;7;74;1;3
2010;76;6;75;1;3
2020;75;6;75;1;2
2030;75;7;74;1;3
2040;76;6;75;1;5
2050;76;5;74;1;2
2060;76;6;74;1;2
2070;76;7;74;1;7
2080;75;6;75;1;2
2090;75;6;75;0;3
2100;75;7;75;0;1
2110;75;7;75;1;2
2120;75;6;75;1;1
2130;75;7;75;1;3
2140;76;8;75;0;3
2150;75;8;75;1;0
2160;76;8;75;1;2
2170;76;8;75;1;4
2180;76;8;75;1;0
2190;76;8;75;1;2
2200;76;8;75;0;1
2210;76;9;75;0;2
2220;76;9;75;1;2
2230;76;10;75;1;3
2240;76;7;75;1;1
2250;76;8;75;1;4
2260;76;8;75;1;2
2270;76;8;75;1;3
2280;76;7;75;1;4
2290;76;8;75;1;2
2300;76;7;75;1;0
2310;76;7;75;1;1
2320;76;8;75;1;3
2330;76;8;75;1;1
2340;76;8;75;0;3
2350;76;7;75;0;4
2360;76;7;75;0;4
2370;76;8;75;0;3
2380;76;7;75;1;0
2390;76;6;75;0;2
2400;76;7;75;1;1
2410;76;6;75;0;1
2420;76;6;75;0;2
2430;76;6;75;0;2
2440;76;6;75;0;2
2450;76;6;74;1;3
2460;75;6;74;1;3
2470;76;6;75;1;1
2480;75;5;75;1;1
2490;76;5;75;1;2
2500;76;5;75;1;1
2510;75;5;75;1;3
2520;75;5;75;1;3
2530;75;5;75;0;3
2540;75;5;75;0;0
2550;75;5;74;0;2
2560;75;7;74;0;4
2570;75;6;74;0;2
2580;75;6;75;0;3
2590;75;6;75;0;1
2600;75;5;75;0;3
2610;75;6;75;0;2
2620;75;5;75;0;3
2630;75;5;75;0;3
2640;75;5;74;0;1
2650;75;4;75;0;2
2660;75;5;75;1;1
2670;75;5;74;1;1
2680;75;4;75;0;2
2690;75;5;75;0;2
2700;75;6;75;0;2
2710;75;6;75;0;0
2720;75;6;74;0;1
2730;75;6;74;0;3
2740;76;5;75;1;3
2750;76;5;75;0;3
2760;75;5;75;0;3
2770;76;4;75;1;3
2780;76;4;74;1;2
2790;75;4;75;1;2
2800;75;4;75;1;3
2810;75;4;75;0;3
2820;75;4;75;1;4
2830;75;4;75;1;2
2840;75;4;75;0;4
2850;75;4;74;0;0
2860;75;3;74;0;3
2870;75;3;74;1;3
2880;75;4;74;0;0
2890;75;6;75;1;1
2900;75;7;75;1;2
2910;75;7;75;1;2
2920;75;5;75;1;2
2930;75;5;75;1;4
2940;76;4;75;1;3
2950;76;4;74;1;1
2960;76;4;75;1;2
2970;76;5;75;1;2
2980;76;6;75;1;1
2990;76;7;75;1;2
3000;76;7;75;1;1
3010;76;8;75;1;5
3020;76;8;75;1;1
3030;76;7;75;1;5
3040;76;8;75;1;2
3050;76;8;75;1;3
3060;76;9;75;1;3
3070;75;9;75;1;4
3080;75;10;75;1;4
