Year,AffiliationInvestment,SelfRisk
0,0,0
0,55,48
1,55,48
2,55,50
3,54,50
4,52,49
5,54,48
6,53,47
7,54,47
8,54,47
9,54,45
10,55,46
11,56,45
12,58,48
13,56,46
14,55,46
15,56,45
16,57,46
17,56,46
18,55,46
19,56,46
20,57,48
21,58,47
22,57,46
23,57,47
24,57,47
25,56,45
26,53,47
27,53,47
28,53,47
29,52,48
30,51,46
31,49,45
32,50,46
33,51,48
34,52,48
35,54,47
36,52,47
37,53,47
38,52,47
39,50,45
40,50,47
41,50,48
42,50,48
43,52,46
44,51,46
45,52,47
46,52,49
47,54,46
48,55,45
49,55,45
50,55,45
51,56,47
52,57,48
53,57,47
54,57,48
55,57,49
56,59,48
57,60,48
58,60,47
59,60,51
60,59,51
61,58,50
62,57,51
63,56,51
64,55,47
65,54,48
66,54,49
67,55,50
68,53,52
69,52,51
70,52,51
71,53,50
72,51,52
73,52,50
74,53,50
75,53,47
76,53,49
77,52,46
78,54,46
79,54,47
80,56,48
81,57,49
82,56,50
83,57,49
84,57,47
85,57,47
86,56,48
87,55,47
88,55,47
89,53,46
90,55,47
91,54,44
92,53,45
93,53,43
94,51,42
95,51,42
96,50,43
97,49,43
98,50,41
99,48,41
100,50,42
101,49,41
102,48,41
103,48,38
104,52,37
105,53,36
106,52,36
107,53,36
108,49,35
109,48,33
110,46,32
111,46,32
112,47,32
113,48,33
114,49,32
115,46,32
116,47,31
117,44,31
118,44,30
119,45,29
120,46,29
121,45,29
122,46,28
123,47,28
124,48,27
125,48,26
126,48,27
127,49,30
128,49,31
129,47,31
130,47,31
131,48,32
132,50,32
133,50,31
134,48,33
135,45,32
136,45,34
137,43,35
138,42,33
139,40,33
140,38,31
141,40,32
142,41,30
143,39,29
144,41,29
145,39,27
146,39,28
147,42,29
148,41,27
149,42,26
150,40,25
151,41,25
152,38,25
153,37,25
154,38,24
155,38,25
156,39,25
157,38,25
158,40,25
159,41,26
160,38,26
161,39,26
162,40,27
163,38,28
164,38,29
165,40,29
166,41,27
167,41,29
168,40,28
169,42,27
170,41,25
171,40,25
172,39,27
173,43,29
174,43,30
175,45,31
176,46,30
177,46,31
178,45,33
179,47,32
180,46,30
181,44,31
182,43,31
183,44,32
184,46,34
185,45,34
186,42,32
187,42,29
188,40,26
189,40,26
190,42,28
191,43,29
192,42,28
193,42,26
194,43,28
195,42,30
196,41,30
197,41,29
198,41,26
199,42,25
200,41,27
