Year;SignalInvestment
0;0
1;55.06
2;9.842
3;8.51
4;8.304
5;6.991
6;8.23
7;5.938
8;7.881
9;6.991
10;7.68
11;6.97
12;9.661
13;7.002
14;6.836
15;8.611
16;9.233
17;9.982
18;6.641
19;7.117
20;6.106
21;7.749
22;6.478
23;7.539
24;8.675
25;5.707
26;7.862
27;6.831
28;8.623
29;9.877
30;7.195
31;6.326
32;9.855
33;8.734
34;8.103
35;7.946
36;8.975
37;5.531
38;7.715
39;10.019
40;9.316
41;6.564
42;7.065
43;6.63
44;5.078
45;9.445
46;8.291
47;5.637
48;8.864
49;7.082
50;7.403
51;5.671
52;5.464
53;7.033
54;4.476
55;6.02
56;8.579
57;7.415
58;5.496
59;6.718
60;10.109
61;6.503
62;7.002
63;4.452
64;7.407
65;6.982
66;9.429
67;7.227
68;8.571
69;5.051
70;7.042
71;7.905
72;8.215
73;11.807
74;6.286
75;7.693
76;6.293
77;7.89
78;7.226
79;6.583
80;7.314
81;9.106
82;5.507
83;7.798
84;5.526
85;6.288
86;7.316
87;5.602
88;8.101
89;5.561
90;6.629
91;7.476
92;6.869
93;7.983
94;7.206
95;6.728
96;7.344
97;5.8
98;7.265
99;8.279
100;8.261
101;5.986
102;5.601
103;8.843
104;9.916
105;8.717
106;5.877
107;10.01
108;8.27
109;5.785
110;7.273
111;5.611
112;6.624
113;7.694
114;5.93
115;6.253
116;7.81
117;6.417
118;5.504
119;5.896
120;6.6
121;5.839
122;8.95
123;6.288
124;6.731
125;7.15
126;6.255
127;6.774
128;5.867
129;7.3
130;4.442
131;8.001
132;5.727
133;7.138
134;9.661
135;7.377
136;5.878
137;8.062
138;8.605
139;6.167
140;7.672
141;5.044
142;5.633
143;8.617
144;8.9
145;8.427
146;7.441
147;6.82
148;4.466
149;8.731
150;8.717
151;6.38
152;6.095
153;9.158
154;9.948
155;9.788
156;7.595
157;6.974
158;4.305
159;9.256
160;5.509
161;6.542
162;9.591
163;7.376
164;6.622
165;5.731
166;7.423
167;5.811
168;7.345
169;8.437
170;7.929
171;7.084
172;9.02
173;5.285
174;6.258
175;5.485
176;6.005
177;7.903
178;7.937
179;5.938
180;4.757
181;8.073
182;5.341
183;7.617
184;6.583
185;5.34
186;7.191
187;6.754
188;5.559
189;5.318
190;7.222
191;8.265
192;6.154
193;7.537
194;7.44
195;7.454
196;5.896
197;5.775
198;8.183
199;4.98
200;8.525
201;6.816
202;6.88
203;6.847
204;5.686
205;7.185
206;7.275
207;9.07
208;6.208
209;6.538
210;7.112
211;6.602
212;4.451
213;4.35
214;9.261
215;9.399
216;6.806
217;6.814
218;5.393
219;6.79
220;6.967
221;5.702
222;5.322
223;6.758
224;6.861
225;6.614
226;6.842
227;8.234
228;6.257
229;7.723
230;6.809
231;5.68
232;6.819
233;7.42
234;4.878
235;6.649
236;9.494
237;5.285
238;9.077
239;5.372
240;5.994
241;6.976
242;6.101
243;7.467
244;6.386
245;9.747
246;7.484
247;6.215
248;6.61
249;5.755
250;10.002
251;6.339
252;5.222
253;6.037
254;9.428
255;5.999
256;6.444
257;8.44
258;6.703
259;7.048
260;10.648
261;5.084
262;6.404
263;8.05
264;5.94
265;7.818
266;6.16
267;7.596
268;6.574
269;5.129
